date,kr_air_traffic_value_short,fr_air_traffic_value_short,gb_air_traffic_value_short,de_nat_cons_yty_long,jp_air_traffic_value_short,target
2010-03-31,0.0,0.0,0.0,0.0006357142857142,0.0,1.65
2010-06-30,0.0,0.0,0.0,0.0025428571428571,0.0,2.15
2010-09-30,0.0,0.0,0.0,0.00445,0.0,1.56
2010-12-31,0.0,0.0,0.0,0.0063571428571428,0.0,1.47
2011-03-31,0.0,0.0,0.0,0.0082642857142857,0.0,-0.09
2011-06-30,0.0,0.0,0.0,0.0207,0.0,2.78
2011-09-30,0.0,0.0,0.0,0.0192,0.0,1.53
2011-12-31,0.0,0.0,0.0,0.0244,0.0,1.56
2012-03-31,0.0,0.0,0.0,0.017525,0.0,1.76
2012-06-30,0.0,0.0,0.0,0.0083,0.0,0.64
2012-09-30,0.0,0.0,0.0,0.0064,0.0,-1.98
2012-12-31,0.0,0.0,0.0,0.0109,0.0,8.77
2013-03-31,0.0,0.0,0.0,0.007,0.0,0.04
2013-06-30,0.0,0.0,0.0,0.0013,0.0,0.73
2013-09-30,0.0,0.0,0.0,0.0094,0.0,0.58
2013-12-31,0.0,0.0,0.0,0.00645,0.0,0.67
2014-03-31,0.0,0.0,0.0,0.0098,0.0,2.48
2014-06-30,0.0,0.0,0.0,0.0024,0.0,1.42
2014-09-30,0.0,0.0,0.0,-0.0042,0.0,1.39
2014-12-31,0.0,0.0,0.0,0.0184,0.0,0.68
2015-03-31,0.0,0.0,0.0,0.0154,0.0,0.16
2015-06-30,0.0,0.0,0.0,0.0257,0.0,1.73
2015-09-30,0.0,0.0,0.0,0.02355,0.0,0.07
2015-12-31,0.0,0.0,0.0,0.0129,0.0,0.14
2016-03-31,0.0,0.0,0.0,0.0179,0.0,-0.3
2016-06-30,0.0,0.0,0.0,0.0257,0.0,1.84
2016-09-30,0.0,0.0,0.0,0.0146,0.0,0.76
2016-12-31,0.0,0.0,0.0,0.02475,0.0,0.65
2017-03-31,0.0,0.0,0.0,0.0189,0.0,2.23
2017-06-30,0.0,0.0,0.0,0.0149,0.0,2.14
2017-09-30,0.0,0.0,0.0,0.0196,0.0,0.87
2017-12-31,0.0,0.0,0.0,0.0157,0.0,0.7
2018-03-31,0.0,0.0,0.0,0.02055,0.0,1.0
2018-06-30,0.0,0.0,0.0,0.01815,0.0,0.89
2018-09-30,0.0,0.0,0.0,0.0168,0.0,0.03
2018-12-31,0.0,0.0,0.0,0.0152,0.0,-2.62
2019-03-31,0.0,3054.98,0.0,0.0143,2972.02,0.8
2019-06-30,3243.45,4140.9525,4121.65,0.0134,3368.955,14.29
2019-09-30,3488.95,4412.16,4810.29,0.0236,3440.1,0.55
2019-12-31,3428.34,3172.07,4512.56,0.0142,3320.57,-0.77
2020-03-31,3281.26,2866.57,3349.58,0.0104999999999999,2872.8,-5.01
2020-06-30,704.89,940.5100000000002,226.43,-0.0502,507.6,-21.38
2020-09-30,721.55,1445.57,636.07,-0.0597,875.52,3.55
2020-12-31,868.8466666666667,1064.22,1181.88,-0.0138,1157.58,4.9
2021-03-31,822.62,725.44,510.27,-0.08505,763.71,2.39
2021-06-30,886.26,940.17,434.06,-0.0268,1058.94,2.46
2021-09-30,927.91,2297.22,1166.08,0.0516,1130.33,10.56
2021-12-31,963.74,1984.285,1910.42,0.0524,1135.44,3.84
2022-03-31,968.07,1482.04,1509.13,0.1501,1066.73,1.34
2022-06-30,1060.54,2449.04,2445.08,0.1075,1248.78,2.25
2022-09-30,1335.37,2582.28,2683.92,0.0717,1435.3200000000002,3.95
2022-12-31,1439.66,2119.2175,2379.355,-0.0128,1607.11,0.51
2023-03-31,1562.815,1647.07,1952.17,-0.0112,1623.36,2.7
2023-06-30,1787.33,2006.865,2076.03,-0.0027,1901.12,-4.17
2023-09-30,2065.68,2098.665,2305.04,0.0029,2001.65,5.37
2023-12-31,2145.65,1697.15,2263.69,0.0263,1975.61,1.49
2024-03-31,2026.01,1311.89,1679.78,0.0321,1907.23,-0.15
2024-06-30,1988.35,1810.4133333333332,1919.9033333333332,0.0139999999999999,2123.22,1.81
2024-09-30,2038.07,1889.735,2097.22,0.0131,2062.29,1.45
2024-12-31,1984.98,1558.33,1998.56,0.0088,1935.23,1.09
2025-03-31,1928.1,1177.62,1548.12,-0.0019,1764.72,-0.11
2025-06-30,1654.56,1740.86,1716.77,0.0002,2079.35,0.98
