date,tn_air_traffic_value_short,sa_air_traffic_value_short,tn_air_traffic_value_short.1,tn_air_traffic_value_short.2,sa_air_traffic_value_short.1,ae_air_traffic_value_long,sa_air_traffic_value_long,ae_air_traffic_value_long.1,tr_air_traffic_value_short,tn_air_traffic_value_long,sa_air_traffic_value_long.1,ae_air_traffic_value_long.2,tn_air_traffic_value_long.1,tr_air_traffic_value_short.1,tn_air_traffic_value_long.2,sa_air_traffic_value_long.2,in_inter_trade,in_inter_trade.1,sa_air_traffic_value_short.2,goods_target
1996-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3247.972,3247.972,0.0,1.6542973708235935
1996-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3104.2631,3104.2631,0.0,2.3351527947631063
1996-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2917.3132,2917.3132,0.0,2.6766260299519726
1997-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2947.4695,2947.4695,0.0,3.539807174750595
1997-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2872.7867,2872.7867,0.0,3.3753526985945026
1997-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.8155,2900.8155,0.0,2.2096153791572344
1997-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728.8033,2728.8033,0.0,1.408919917264388
1998-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510.6341,2510.6341,0.0,1.0620571985216776
1998-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.9311,2838.9311,0.0,0.2716860265538091
1998-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2844.3442,2844.3442,0.0,-0.1733606240127539
1998-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.5886,3052.5886,0.0,1.9465890917489008
1999-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2943.7814,2943.7814,0.0,2.1940681424217066
1999-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3062.519,3062.519,0.0,2.991570514545677
1999-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3007.4302,3007.4302,0.0,3.567366962036153
